Temporada,Jornada,Fecha,Hora,Equipo Local,Equipo Visitante,Resultado,Arbitro
2013-14,8,SAB 05.10.2013,16:00,Elche CF,RCD Espanyol de Barcelona,2-1,-
2013-14,8,SAB 05.10.2013,18:00,Rayo Vallecano,Real Sociedad,1-0,-
2013-14,8,SAB 05.10.2013,20:00,Levante UD,Real Madrid,2-3,-
2013-14,8,SAB 05.10.2013,22:00,FC Barcelona,Real Valladolid CF,4-1,-
2013-14,8,DOM 06.10.2013,12:00,Atlético de Madrid,RC Celta,2-1,-
2013-14,8,DOM 06.10.2013,17:00,Sevilla FC,UD Almería,2-1,-
2013-14,8,DOM 06.10.2013,19:00,Getafe CF,Real Betis,3-1,-
2013-14,8,DOM 06.10.2013,21:00,Athletic Club,Valencia CF,1-1,-
2013-14,9,SAB 19.10.2013,16:00,Real Madrid,Málaga CF,2-0,-
2013-14,9,SAB 19.10.2013,18:00,Valencia CF,Real Sociedad,1-2,-
2013-14,9,SAB 19.10.2013,20:00,CA Osasuna,FC Barcelona,0-0,-
2013-14,9,SAB 19.10.2013,22:00,RCD Espanyol de Barcelona,Atlético de Madrid,1-0,-
2013-14,9,DOM 20.10.2013,12:00,Granada CF,Getafe CF,0-2,-
2013-14,9,DOM 20.10.2013,17:00,UD Almería,Rayo Vallecano,0-1,-
2013-14,9,DOM 20.10.2013,19:00,Real Betis,Elche CF,1-2,-
2013-14,9,DOM 20.10.2013,21:00,Real Valladolid CF,Sevilla FC,2-2,-
2013-14,9,LUN 21.10.2013,20:00,RC Celta,Levante UD,0-1,-
2013-14,9,LUN 21.10.2013,22:00,Athletic Club,Villarreal CF,2-0,-
2013-14,10,VIE 25.10.2013,21:00,Rayo Vallecano,Real Valladolid CF,0-3,-
2013-14,10,SAB 26.10.2013,16:00,Málaga CF,RC Celta,0-5,-
2013-14,10,SAB 26.10.2013,18:00,FC Barcelona,Real Madrid,2-1,Alberto Undiano Mallenco
2013-14,10,SAB 26.10.2013,20:00,Elche CF,Granada CF,0-1,-
2013-14,10,SAB 26.10.2013,22:00,Levante UD,RCD Espanyol de Barcelona,3-0,-
2013-14,10,DOM 27.10.2013,12:00,Sevilla FC,CA Osasuna,2-1,-
2013-14,10,DOM 27.10.2013,17:00,Villarreal CF,Valencia CF,4-1,-
2013-14,10,DOM 27.10.2013,19:00,Real Sociedad,UD Almería,3-0,-
2013-14,10,DOM 27.10.2013,21:00,Atlético de Madrid,Real Betis,5-0,-
2013-14,10,LUN 28.10.2013,22:00,Getafe CF,Athletic Club,0-1,-
2013-14,11,MAR 29.10.2013,20:00,RCD Espanyol de Barcelona,Málaga CF,0-0,-
2013-14,11,MAR 29.10.2013,22:00,RC Celta,FC Barcelona,0-3,-
2013-14,11,MIE 30.10.2013,20:00,Valencia CF,UD Almería,1-2,-
2013-14,11,MIE 30.10.2013,20:00,Real Valladolid CF,Real Sociedad,2-2,-
